Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29582,"Foundation and Earth (Foundation, #5)",Isaac Asimov,"Asimov, Isaac",,553587579,9.78055E+12,3,4.07,Spectra,Paperback,528,2004,1986,,4/23/2020,,,read,,,,1,0
76683,"Foundation's Edge (Foundation, #4)",Isaac Asimov,"Asimov, Isaac",,553293389,9.78055E+12,3,4.16,Bantam/Spectra,Paperback,450,2010,1982,,4/23/2020,,,read,,,,1,0
29580,"Second Foundation (Foundation, #3)",Isaac Asimov,"Asimov, Isaac",,553803735,9.78055E+12,4,4.26,Bantam Spectra,Hardcover,256,2004,1953,,4/23/2020,,,read,,,,1,0
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac",,553803727,9.78055E+12,4,4.22,Spectra Books,Hardcover,244,2004,1952,,4/23/2020,,,read,,,,1,0
234225,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,340839937,9.78034E+12,3,4.25,Hodder & Stoughton,Paperback,604,2006,1965,,4/23/2020,,,read,,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal",393970124,9.78039E+12,5,4.01,Norton,Paperback,488,1986,1897,,4/23/2020,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Chris Mould, Αύγουστος Κορτώ, Boris Grabnar, Celâl Üster, Николай Николов, Κυριάκος Ντελόπουλος, Peter Škerl, Pau Masiques, José Manuel Moreno Cidoncha, Τζωρτζ Όργουελ, Celâl Üstüner",452284244,9.78045E+12,5,3.98,NAL,Paperback,122,2003,1945,,4/23/2020,,,read,,,,1,0
11782243,The Island,Aldous Huxley,"Huxley, Aldous",,,,4,3.86,,,,,1962,,4/23/2020,,,read,,,,1,0
16322,"The A.B.C. Murders (Hercule Poirot, #12)",Agatha Christie,"Christie, Agatha",,1579126243,9.78158E+12,3,4.03,Black Dog & Leventhal Publishers,Hardcover,232,2006,1936,,4/23/2020,,,read,,,,1,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #3)",Agatha Christie,"Christie, Agatha",Anders Mossling,1579126278,9.78158E+12,5,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,,4/23/2020,,,read,,,,1,0
853510,"Murder on the Orient Express (Hercule Poirot, #9)",Agatha Christie,"Christie, Agatha",,7119313,9.78001E+12,4,4.2,HarperCollins,Paperback,274,2007,1934,,4/23/2020,,,read,,,,1,0
